ACC (%),PRE (%),REC (%),F1 (%),ROC AUC (%)
BNB Training,90.50,99.72,78.92,88.11,89.37
BNB Training porter,86.20,99.04,69.73,81.84,84.59
BNB Training wl,84.80,81.96,84.53,83.22,84.77
BNB Training porter+wl,83.20,80.22,82.74,81.46,83.15
MNB Training-CountVec,96.50,93.82,98.65,96.17,96.71
MNB Training-CountVec porter,93.40,89.26,96.86,92.90,93.74
MNB Training-CountVec wl,81.10,72.12,93.95,81.60,82.35
MNB Training-CountVec porter+wl,78.70,69.91,91.70,79.34,79.97
MNB Training-TfidfVec,95.70,94.09,96.41,95.24,95.77
MNB Training-TfidfVec porter,93.60,92.83,92.83,92.83,93.52
MNB Training-TfidfVec wl,81.20,75.80,84.98,80.13,81.57
MNB Training-TfidfVec porter+wl,80.20,75.51,82.29,78.76,80.40
BNB Test,59.50,80.00,30.48,44.14,61.03
BNB Test porter,60.50,84.21,30.48,44.76,62.08
BNB Test wl,65.50,70.45,59.05,64.25,65.84
BNB Test porter+wl,63.50,68.60,56.19,61.78,63.88
MNB Test-CountVec,70.50,75.00,65.71,70.05,70.75
MNB Test-CountVec porter,70.00,74.19,65.71,69.70,70.23
MNB Test-CountVec wl,65.50,65.25,73.33,69.06,65.09
MNB Test-CountVec porter+wl,67.50,67.24,74.29,70.59,67.14
MNB Test-TfidfVec,72.00,78.82,63.81,70.53,72.43
MNB Test-TfidfVec porter,68.00,75.95,57.14,65.22,68.57
MNB Test-TfidfVec wl,64.50,66.67,64.76,65.70,64.49
MNB Test-TfidfVec porter+wl,63.00,65.66,61.90,63.73,63.06
